MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,2.344,313,2.0,81,81,21,9.0,14,5.0,0.0,0.0,173,8.0,0.0,0.0,0.0,40.0,15,0.0,0.0,74,8.0,0.0,4,0.0,1.0,128,5.0,0.0,5.0,241,14.0,172,156,6.0,5.0,141,52,105,0.0,1.0,1.0,1.0,1.0,46,18,0.0,20.0,0.0,0.0,19,7.0,3,0.0,2.0,0.0,21,19.0,1.0,10.0,25,0.0,0.0,18.0,47,0.0,0.0,0.0,0.0,43,6.0,0.0,0.0,12.0,7.0,0.0,0.0,57,48,100,1.0,6,1.0,0.0,86,0.0,1.0,2.0,12.0,7,0.0,1.0,13.0,1.0,38,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,35.0,62,6.0,0.0,0.0,24.0,4.0,0.0,1.0,2.0,4.0,15,7.0,0.0,12.0,2.0,0.0,3.0,5.0,5.0,96,111,9.0,31.0,30.0,3.0,16.0,1.0,0.0,0.0,11.0,330,6.0,11.0,69,0.0,0.0,19.0,0.0,0.0,2.0
200804,2.345,141,4.0,23,29,4,5.0,22,40.0,7.0,0.0,77,0.0,0.0,1.0,0.0,4.0,4,1.0,3.0,53,13.0,1.0,2,0.0,10.0,41,0.0,0.0,0.0,89,0.0,95,91,0.0,2.0,52,11,79,0.0,7.0,3.0,1.0,2.0,51,48,9.0,0.0,0.0,0.0,8,9.0,4,0.0,0.0,0.0,12,3.0,3.0,6.0,11,0.0,0.0,11.0,16,1.0,0.0,0.0,0.0,35,1.0,0.0,0.0,0.0,5.0,0.0,0.0,34,31,32,3.0,2,1.0,0.0,42,0.0,0.0,0.0,3.0,2,0.0,0.0,2.0,0.0,11,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,13.0,47,16.0,1.0,0.0,2.0,6.0,0.0,2.0,3.0,3.0,14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27,76,4.0,4.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,113,3.0,1.0,10,0.0,0.0,12.0,0.0,1.0,0.0
200805,2.346,100,0.0,10,17,5,0.0,7,8.0,1.0,0.0,36,0.0,2.0,1.0,0.0,0.0,7,0.0,0.0,40,4.0,0.0,6,0.0,2.0,59,0.0,0.0,0.0,161,0.0,73,64,2.0,0.0,43,19,34,0.0,0.0,6.0,0.0,0.0,62,14,8.0,1.0,0.0,1.0,6,5.0,1,2.0,1.0,0.0,13,3.0,0.0,1.0,21,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,18,1.0,0.0,0.0,1.0,4.0,0.0,0.0,29,26,13,0.0,8,0.0,0.0,18,0.0,0.0,0.0,1.0,5,0.0,0.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,3,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4,36,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,7,0.0,0.0,1.0,0.0,2.0,0.0
200806,2.347,48,0.0,17,16,9,0.0,7,0.0,1.0,0.0,43,0.0,0.0,0.0,3.0,6.0,6,0.0,0.0,28,0.0,0.0,3,0.0,0.0,45,0.0,0.0,0.0,106,0.0,71,65,3.0,0.0,68,11,30,2.0,0.0,1.0,0.0,0.0,24,2,1.0,1.0,1.0,0.0,5,6.0,1,0.0,0.0,1.0,25,2.0,0.0,0.0,11,0.0,0.0,11.0,7,1.0,0.0,0.0,0.0,15,3.0,0.0,0.0,7.0,3.0,0.0,0.0,23,8,9,0.0,2,0.0,0.0,22,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,1.0,10,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,23,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0.0,3.0,2,0.0,0.0,0.0,0.0,1.0,4.0
200807,2.3480000000000003,96,0.0,13,12,3,0.0,3,4.0,0.0,0.0,44,0.0,2.0,1.0,0.0,7.0,10,0.0,1.0,58,4.0,1.0,4,0.0,8.0,24,0.0,0.0,0.0,111,1.0,53,56,1.0,2.0,46,21,39,1.0,0.0,1.0,0.0,0.0,47,25,4.0,45.0,0.0,1.0,4,0.0,5,1.0,1.0,0.0,8,2.0,0.0,2.0,26,0.0,0.0,10.0,11,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,1.0,5.0,0.0,0.0,18,13,15,0.0,6,0.0,0.0,27,0.0,0.0,0.0,2.0,6,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4,39,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,36,0.0,3.0,6,0.0,0.0,0.0,0.0,0.0,0.0
200808,2.349,105,0.0,16,13,6,0.0,11,1.0,1.0,0.0,28,0.0,0.0,0.0,0.0,0.0,5,1.0,0.0,30,3.0,0.0,3,0.0,0.0,38,2.0,0.0,0.0,75,2.0,103,91,9.0,0.0,56,25,52,0.0,0.0,12.0,0.0,0.0,28,7,6.0,34.0,0.0,0.0,9,2.0,9,2.0,1.0,0.0,10,1.0,0.0,3.0,10,0.0,0.0,5.0,4,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16,12,21,0.0,2,0.0,0.0,20,0.0,1.0,0.0,2.0,1,0.0,0.0,0.0,1.0,7,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,9.0,6,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,11,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,4,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,25,0.0,5.0,8,0.0,6.0,0.0,0.0,1.0,2.0
200809,2.35,95,0.0,11,18,9,0.0,2,8.0,0.0,2.0,21,0.0,0.0,3.0,0.0,0.0,19,0.0,2.0,68,4.0,0.0,1,0.0,5.0,157,0.0,0.0,0.0,263,1.0,140,144,59.0,7.0,161,42,66,0.0,0.0,20.0,0.0,0.0,40,15,6.0,0.0,0.0,0.0,10,1.0,1,0.0,0.0,0.0,11,0.0,0.0,3.0,8,0.0,0.0,6.0,2,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,4.0,1.0,0.0,0.0,18,24,11,0.0,3,0.0,0.0,14,0.0,0.0,0.0,1.0,17,0.0,0.0,3.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,22,0.0,4.0,6,0.0,0.0,3.0,0.0,1.0,1.0
200810,2.351,124,1.0,27,38,4,1.0,9,3.0,0.0,0.0,32,0.0,1.0,1.0,0.0,6.0,12,3.0,0.0,55,3.0,0.0,4,0.0,0.0,101,3.0,1.0,0.0,212,2.0,184,170,17.0,5.0,160,27,84,1.0,1.0,8.0,0.0,0.0,33,21,4.0,3.0,1.0,0.0,2,8.0,17,2.0,0.0,4.0,14,2.0,0.0,0.0,2,0.0,1.0,11.0,8,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6,9,20,0.0,6,0.0,0.0,20,0.0,0.0,0.0,2.0,1,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,27,2.0,1.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,36,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,3.0
200811,2.352,121,5.0,37,43,10,10.0,6,5.0,3.0,0.0,65,6.0,0.0,4.0,0.0,1.0,12,1.0,0.0,147,6.0,7.0,7,0.0,0.0,144,6.0,0.0,4.0,257,0.0,158,163,22.0,4.0,255,52,87,0.0,0.0,6.0,0.0,0.0,266,39,0.0,8.0,0.0,0.0,11,8.0,1,0.0,0.0,0.0,20,0.0,0.0,0.0,8,0.0,0.0,16.0,25,4.0,2.0,0.0,0.0,21,1.0,0.0,0.0,11.0,1.0,2.0,0.0,34,29,20,2.0,1,0.0,0.0,26,0.0,0.0,0.0,0.0,8,0.0,0.0,6.0,0.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,37,6.0,3.0,5.0,3.0,5.0,0.0,0.0,0.0,2.0,63,0.0,2.0,22,0.0,0.0,1.0,0.0,0.0,1.0
200812,2.353,151,2.0,9,26,8,3.0,2,2.0,0.0,0.0,86,0.0,2.0,1.0,0.0,6.0,5,0.0,0.0,76,8.0,0.0,2,0.0,1.0,78,0.0,0.0,2.0,212,1.0,130,136,0.0,1.0,70,73,74,0.0,0.0,1.0,31.0,0.0,138,7,5.0,8.0,0.0,0.0,12,7.0,3,0.0,0.0,0.0,14,2.0,0.0,2.0,16,0.0,3.0,4.0,15,0.0,0.0,2.0,0.0,10,7.0,0.0,0.0,4.0,4.0,0.0,0.0,15,22,28,6.0,8,4.0,0.0,34,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,4,18,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,1.0,28,0.0,0.0,14.0,0.0,5.0,2.0
