MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_202,event_count_203
200803,2.011,121,0.0,8,8,9.0,2.0,1.0,0.0,0.0,0.0,31,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,20,4.0,0.0,0.0,51,1.0,22,21,0.0,0.0,26,5.0,21,1.0,0.0,1.0,0.0,0.0,20,15,7.0,0.0,0.0,0.0,8,27.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,3,0.0,0.0,1.0,17,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,2,17.0,56,1.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,3,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200804,2.0170833333333333,249,0.0,5,11,6.0,0.0,0.0,3.0,0.0,0.0,57,0.0,1.0,1.0,0.0,1.0,10.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,15,4.0,0.0,5.0,46,0.0,53,55,1.0,7.0,46,15.0,41,1.0,1.0,0.0,0.0,0.0,18,26,4.0,0.0,0.0,0.0,10,16.0,0.0,3.0,0.0,2.0,11.0,2.0,0.0,1.0,8,0.0,0.0,1.0,16,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11,15.0,27,0.0,24.0,1.0,0.0,15,0.0,0.0,0.0,0.0,3.0,0.0,2.0,13.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,10.0,19,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,48,0.0,0.0,2.0,0.0,0.0,0.0,0.0
200805,2.0231666666666666,396,1.0,18,22,15.0,9.0,11.0,3.0,0.0,0.0,130,2.0,14.0,7.0,0.0,2.0,9.0,2.0,0.0,48.0,3.0,2.0,7.0,1.0,2.0,20,0.0,0.0,0.0,168,20.0,76,68,0.0,21.0,85,31.0,119,1.0,0.0,1.0,0.0,6.0,16,36,4.0,0.0,0.0,0.0,17,8.0,2.0,4.0,0.0,0.0,10.0,1.0,0.0,8.0,4,0.0,0.0,6.0,13,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,64,38.0,32,0.0,7.0,0.0,0.0,51,0.0,2.0,0.0,1.0,3.0,0.0,0.0,16.0,20.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,33.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,11.0,0.0,5.0,0.0,0.0,0.0,4.0,14.0,6,0.0,2.0,11.0,3.0,9.0,0.0,0.0,0.0,4.0,131,1.0,17.0,5.0,0.0,0.0,0.0,0.0
200806,2.02925,446,3.0,38,35,7.0,0.0,4.0,12.0,2.0,0.0,107,2.0,2.0,4.0,1.0,0.0,4.0,0.0,0.0,49.0,4.0,0.0,4.0,0.0,5.0,38,0.0,0.0,0.0,161,12.0,69,65,0.0,0.0,70,7.0,85,0.0,6.0,1.0,1.0,0.0,11,30,25.0,0.0,0.0,0.0,10,7.0,0.0,1.0,0.0,24.0,10.0,0.0,0.0,3.0,15,0.0,0.0,4.0,8,0.0,0.0,0.0,0.0,25.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,26,23.0,50,1.0,7.0,0.0,0.0,26,0.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,33,12.0,1.0,4.0,0.0,6.0,0.0,0.0,3.0,9.0,35,8.0,5.0,20.0,0.0,0.0,0.0,0.0
200807,2.035333333333333,372,4.0,10,10,4.0,1.0,0.0,2.0,5.0,0.0,81,2.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,18.0,1.0,0.0,3.0,0.0,0.0,35,0.0,0.0,0.0,69,7.0,60,55,0.0,0.0,49,34.0,36,1.0,0.0,0.0,0.0,0.0,67,12,6.0,0.0,0.0,0.0,3,12.0,0.0,3.0,0.0,2.0,7.0,2.0,0.0,8.0,5,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11,13.0,24,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,7,2.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,42,1.0,1.0,2.0,1.0,3.0,0.0,0.0
200808,2.0414166666666667,360,0.0,14,25,14.0,5.0,0.0,4.0,0.0,0.0,94,0.0,0.0,2.0,2.0,1.0,16.0,4.0,0.0,39.0,5.0,0.0,5.0,3.0,0.0,48,1.0,0.0,2.0,96,4.0,56,54,0.0,0.0,127,35.0,116,0.0,0.0,6.0,1.0,1.0,61,41,20.0,0.0,0.0,0.0,19,15.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,8.0,15,0.0,2.0,0.0,12,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15,6.0,27,2.0,3.0,0.0,0.0,39,0.0,0.0,0.0,0.0,5.0,2.0,3.0,4.0,5.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,22.0,3.0,12.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,11.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,6.0,12,0.0,6.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,78,11.0,0.0,4.0,0.0,0.0,0.0,0.0
200809,2.0475000000000003,734,4.0,73,68,15.0,4.0,11.0,6.0,4.0,3.0,221,0.0,0.0,4.0,0.0,1.0,46.0,3.0,0.0,54.0,13.0,6.0,3.0,4.0,6.0,143,4.0,0.0,2.0,357,32.0,202,197,0.0,13.0,520,56.0,336,0.0,3.0,1.0,0.0,0.0,71,161,97.0,0.0,0.0,0.0,45,27.0,17.0,1.0,0.0,3.0,18.0,0.0,0.0,3.0,6,1.0,4.0,9.0,30,0.0,1.0,1.0,0.0,80.0,1.0,0.0,0.0,43.0,9.0,0.0,0.0,48,147.0,362,3.0,15.0,0.0,0.0,87,0.0,1.0,0.0,6.0,32.0,0.0,9.0,2.0,45.0,2.0,13.0,0.0,0.0,0.0,21.0,6.0,1.0,46.0,0.0,2.0,6.0,13.0,4.0,0.0,2.0,2.0,6.0,109.0,25.0,3.0,5.0,9.0,0.0,0.0,35.0,52.0,80,149.0,10.0,51.0,4.0,21.0,0.0,0.0,0.0,2.0,307,38.0,45.0,46.0,0.0,2.0,4.0,0.0
200810,2.053583333333333,432,1.0,11,20,7.0,2.0,0.0,4.0,0.0,0.0,126,1.0,1.0,2.0,2.0,0.0,8.0,0.0,0.0,24.0,8.0,0.0,12.0,1.0,6.0,40,0.0,0.0,0.0,74,4.0,92,69,0.0,0.0,74,2.0,71,0.0,0.0,0.0,1.0,0.0,13,179,15.0,1.0,0.0,0.0,8,9.0,1.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,5,0.0,1.0,2.0,15,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,12,11.0,24,2.0,6.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,28.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,9.0,16,8.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,43,0.0,11.0,4.0,0.0,0.0,0.0,0.0
200811,2.0596666666666668,393,6.0,16,25,13.0,2.0,8.0,2.0,0.0,0.0,78,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,14.0,2.0,1.0,7.0,0.0,0.0,44,0.0,0.0,0.0,55,1.0,59,45,0.0,0.0,9,6.0,54,0.0,1.0,0.0,1.0,0.0,5,115,2.0,0.0,1.0,0.0,8,24.0,0.0,5.0,1.0,0.0,22.0,0.0,0.0,0.0,6,0.0,0.0,5.0,18,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22,11.0,54,0.0,3.0,0.0,0.0,8,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,22.0,0.0,0.0,6.0,0.0,1.0,4.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,2.0,0.0,0.0,0.0,6.0,3.0,21.0,24,21.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,36,3.0,5.0,9.0,0.0,2.0,0.0,0.0
200812,2.06575,573,0.0,10,12,7.0,2.0,7.0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,4.0,0.0,1.0,0.0,0.0,48,0.0,0.0,0.0,74,2.0,85,88,0.0,0.0,12,8.0,55,0.0,0.0,0.0,0.0,0.0,18,155,10.0,2.0,0.0,0.0,4,5.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,13,0.0,0.0,2.0,12,0.0,0.0,0.0,3.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21,15.0,28,0.0,12.0,1.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,32,18.0,1.0,1.0,1.0,8.0,1.0,0.0,3.0,9.0,50,1.0,1.0,1.0,0.0,0.0,1.0,0.0
