MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_201,event_count_202,event_count_203
200803,1.867,104,0.0,18,28,7,2.0,3.0,2.0,0.0,0.0,52,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,15,5.0,0.0,2.0,0.0,0.0,19,1.0,0.0,0.0,29,2.0,76,71,1.0,0.0,8,0.0,38,0.0,0.0,0.0,0.0,1.0,10.0,30,0.0,0.0,0.0,0.0,7,10,4.0,0.0,2.0,0.0,2,6.0,0.0,0.0,6.0,0.0,1.0,6.0,14,0.0,0.0,0.0,0.0,21,1.0,0.0,0.0,0.0,1.0,0.0,16.0,13.0,37,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,62,1.0,0.0,8.0,1.0,6.0,0.0,0.0,0.0,1.0,14,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
200804,1.8665833333333333,93,2.0,10,32,5,0.0,1.0,2.0,0.0,0.0,38,1.0,4.0,2.0,0.0,1.0,6.0,0.0,1.0,26,7.0,1.0,3.0,2.0,0.0,46,0.0,0.0,1.0,55,0.0,62,61,0.0,0.0,20,9.0,63,1.0,0.0,0.0,1.0,0.0,9.0,8,4.0,3.0,0.0,0.0,28,11,8.0,5.0,0.0,0.0,4,5.0,0.0,4.0,7.0,0.0,0.0,7.0,21,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,1.0,2.0,0.0,18.0,4.0,26,0.0,2.0,0.0,0.0,22.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,20.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,16,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,45,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
200805,1.8661666666666663,109,1.0,29,40,19,1.0,3.0,2.0,1.0,0.0,40,1.0,2.0,4.0,4.0,1.0,3.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,50,4.0,132,135,0.0,0.0,21,8.0,79,1.0,0.0,0.0,0.0,2.0,9.0,22,5.0,0.0,0.0,0.0,24,10,3.0,3.0,0.0,0.0,8,9.0,0.0,4.0,10.0,0.0,0.0,3.0,22,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,2.0,0.0,19.0,4.0,31,0.0,8.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,59,0.0,0.0,13.0,4.0,5.0,0.0,0.0,0.0,1.0,38,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
200806,1.86575,97,0.0,33,30,7,4.0,1.0,0.0,0.0,0.0,36,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,11,0.0,0.0,2.0,0.0,2.0,16,0.0,0.0,0.0,28,0.0,62,58,0.0,1.0,17,3.0,57,0.0,0.0,0.0,0.0,0.0,8.0,9,1.0,0.0,0.0,1.0,7,7,4.0,5.0,0.0,0.0,11,3.0,0.0,5.0,2.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,18,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,25,2.0,0.0,7.0,0.0,15.0,0.0,0.0,0.0,0.0,28,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
200807,1.8653333333333333,130,0.0,28,46,15,6.0,3.0,0.0,0.0,0.0,58,7.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,26,0.0,0.0,5.0,0.0,1.0,21,0.0,0.0,0.0,66,0.0,65,59,0.0,2.0,5,5.0,62,0.0,1.0,0.0,1.0,0.0,3.0,16,1.0,0.0,2.0,0.0,16,7,6.0,3.0,8.0,0.0,8,2.0,0.0,3.0,8.0,0.0,0.0,1.0,25,0.0,0.0,0.0,0.0,24,3.0,0.0,0.0,0.0,3.0,0.0,26.0,48.0,29,0.0,3.0,3.0,0.0,21.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,11.0,57,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,14,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0
200808,1.8649166666666663,71,1.0,23,25,8,1.0,3.0,0.0,0.0,0.0,37,2.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,6,0.0,3.0,0.0,0.0,0.0,18,0.0,0.0,0.0,22,0.0,49,48,0.0,0.0,21,13.0,45,0.0,0.0,0.0,1.0,2.0,10.0,6,2.0,0.0,0.0,0.0,10,6,1.0,2.0,2.0,0.0,5,0.0,0.0,2.0,6.0,0.0,2.0,0.0,17,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,16,0.0,3.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,25,0.0,2.0,17.0,1.0,1.0,0.0,0.0,0.0,6.0,10,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
200809,1.8645,76,0.0,18,24,19,2.0,1.0,3.0,1.0,0.0,30,0.0,1.0,7.0,0.0,0.0,7.0,0.0,0.0,18,3.0,4.0,0.0,0.0,1.0,15,0.0,0.0,0.0,43,0.0,31,27,0.0,0.0,4,9.0,75,0.0,0.0,0.0,1.0,0.0,6.0,12,0.0,2.0,0.0,0.0,15,8,4.0,4.0,0.0,0.0,19,0.0,0.0,2.0,5.0,0.0,0.0,0.0,11,2.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,7,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,15,2.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,21,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
200810,1.864083333333333,81,0.0,20,43,7,1.0,2.0,2.0,0.0,0.0,48,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8,2.0,0.0,1.0,1.0,0.0,15,0.0,0.0,0.0,32,0.0,39,34,0.0,0.0,14,8.0,52,0.0,0.0,4.0,0.0,0.0,6.0,12,1.0,0.0,0.0,0.0,11,8,4.0,3.0,0.0,0.0,2,3.0,0.0,0.0,6.0,0.0,0.0,1.0,9,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,22,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17,0.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,5,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0
200811,1.8636666666666664,54,0.0,11,16,2,1.0,1.0,1.0,0.0,0.0,15,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1,0.0,0.0,4.0,0.0,3.0,7,0.0,0.0,0.0,39,4.0,35,36,0.0,0.0,3,0.0,34,0.0,0.0,0.0,2.0,0.0,2.0,8,0.0,1.0,0.0,0.0,5,8,0.0,4.0,0.0,0.0,11,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,27,0.0,2.0,9.0,0.0,0.0,0.0,2.0,0.0
200812,1.86325,123,0.0,11,20,6,1.0,1.0,8.0,1.0,0.0,51,2.0,1.0,4.0,0.0,2.0,2.0,0.0,0.0,34,2.0,2.0,2.0,0.0,7.0,35,0.0,0.0,0.0,56,2.0,112,110,1.0,0.0,32,4.0,74,0.0,0.0,0.0,0.0,0.0,22.0,30,0.0,0.0,0.0,0.0,17,4,0.0,3.0,0.0,1.0,10,3.0,0.0,1.0,6.0,0.0,0.0,4.0,9,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,2.0,0.0,0.0,16.0,11.0,21,0.0,10.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,32,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,14,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
