MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.409,102,1.0,19,21,1,4.0,13.0,2.0,1.0,0.0,49,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,20,4,0.0,2,0.0,0.0,30,0.0,0.0,0.0,147,0.0,60,51,0.0,0.0,27,1.0,44,0.0,0.0,7.0,5.0,0.0,38,18,16,4.0,0.0,0.0,10,7,2.0,1.0,2.0,0.0,7,5.0,0.0,2.0,15,0.0,0.0,1.0,9,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,26,8,0.0,1,1.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11,0.0,0.0,2.0,0.0,0.0,2.0,0.0,10.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,9,22,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,12,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0
200804,1.4095833333333334,114,4.0,10,27,12,0.0,2.0,5.0,1.0,0.0,79,0.0,1.0,1.0,0.0,2.0,9.0,0.0,2.0,7,4,0.0,1,0.0,0.0,56,0.0,0.0,0.0,61,5.0,47,39,0.0,7.0,71,17.0,39,2.0,0.0,0.0,0.0,0.0,22,35,12,0.0,1.0,0.0,9,16,0.0,7.0,0.0,1.0,5,0.0,0.0,15.0,12,0.0,0.0,0.0,16,1.0,0.0,0.0,0.0,7,0.0,0.0,0.0,1.0,0.0,0.0,3.0,9,10,4,0.0,2,0.0,0.0,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,6,19,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28,0.0,1.0,8,0.0,0.0,0.0,0.0,0.0,0.0
200805,1.4101666666666666,71,2.0,11,27,2,1.0,0.0,7.0,0.0,0.0,55,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,16,1,0.0,10,0.0,0.0,73,0.0,0.0,0.0,82,0.0,50,53,0.0,1.0,51,13.0,37,0.0,0.0,2.0,0.0,0.0,18,17,7,4.0,0.0,0.0,24,11,0.0,1.0,0.0,0.0,3,2.0,0.0,0.0,29,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5,24,8,0.0,3,0.0,0.0,5,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,8,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0
200806,1.41075,100,1.0,11,22,26,0.0,0.0,5.0,1.0,1.0,53,0.0,4.0,2.0,0.0,3.0,2.0,0.0,0.0,17,2,1.0,6,0.0,2.0,48,0.0,0.0,0.0,104,6.0,102,92,3.0,0.0,52,5.0,48,0.0,0.0,0.0,0.0,0.0,12,13,9,1.0,0.0,0.0,19,12,1.0,1.0,0.0,0.0,15,0.0,0.0,2.0,16,1.0,0.0,6.0,14,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,19,10,0.0,3,1.0,0.0,25,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,14,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,11,4,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,26,0.0,1.0,23,0.0,0.0,0.0,0.0,0.0,0.0
200807,1.411333333333333,74,0.0,22,25,1,0.0,0.0,0.0,0.0,0.0,31,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,21,1,0.0,6,0.0,4.0,39,0.0,0.0,0.0,71,13.0,51,42,1.0,1.0,23,0.0,27,0.0,0.0,0.0,0.0,0.0,21,18,9,0.0,0.0,0.0,14,19,1.0,3.0,0.0,0.0,16,0.0,0.0,4.0,15,0.0,0.0,5.0,20,0.0,0.0,0.0,0.0,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,7,0.0,5,1.0,0.0,14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20,5,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15,0.0,5.0,4,0.0,0.0,0.0,0.0,0.0,0.0
200808,1.4119166666666667,101,10.0,31,28,7,1.0,2.0,0.0,1.0,0.0,81,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,19,7,0.0,5,0.0,6.0,72,0.0,0.0,7.0,82,8.0,83,93,0.0,2.0,33,6.0,37,0.0,0.0,7.0,0.0,0.0,20,6,14,0.0,0.0,2.0,22,38,12.0,2.0,1.0,0.0,6,0.0,0.0,1.0,12,0.0,0.0,3.0,51,0.0,0.0,0.0,0.0,9,1.0,0.0,0.0,0.0,2.0,0.0,0.0,11,17,27,0.0,2,0.0,0.0,6,0.0,0.0,0.0,2.0,11.0,2.0,1.0,0.0,5,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,38,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,37,0.0,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0
200809,1.4125,314,7.0,38,53,20,0.0,2.0,11.0,17.0,0.0,78,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,16,7,0.0,1,0.0,12.0,74,0.0,0.0,0.0,287,6.0,110,102,0.0,4.0,107,18.0,34,0.0,0.0,0.0,3.0,0.0,22,37,10,2.0,0.0,1.0,18,12,2.0,9.0,1.0,0.0,5,0.0,0.0,1.0,36,0.0,0.0,9.0,51,0.0,0.0,3.0,0.0,10,17.0,0.0,0.0,1.0,0.0,0.0,0.0,20,40,45,0.0,10,0.0,0.0,12,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,10,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,8,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,8,54,0.0,0.0,14.0,1.0,10.0,2.0,0.0,0.0,1.0,161,0.0,5.0,316,1.0,1.0,0.0,0.0,17.0,0.0
200810,1.4130833333333332,141,0.0,11,46,4,2.0,4.0,15.0,2.0,2.0,74,1.0,13.0,3.0,0.0,1.0,22.0,0.0,0.0,31,8,0.0,3,0.0,0.0,80,0.0,0.0,0.0,202,5.0,138,124,1.0,13.0,147,29.0,89,15.0,0.0,1.0,0.0,0.0,40,21,3,0.0,0.0,0.0,15,18,0.0,4.0,0.0,0.0,17,3.0,0.0,1.0,22,0.0,0.0,4.0,35,0.0,2.0,0.0,0.0,7,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15,19,25,0.0,2,0.0,0.0,16,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8,11,0.0,0.0,19.0,0.0,7.0,1.0,0.0,0.0,0.0,21,0.0,2.0,13,0.0,1.0,0.0,0.0,0.0,0.0
200811,1.4136666666666666,108,0.0,23,26,14,3.0,4.0,10.0,0.0,0.0,80,0.0,2.0,1.0,0.0,0.0,15.0,1.0,0.0,26,3,1.0,2,0.0,2.0,101,1.0,0.0,0.0,148,1.0,148,77,5.0,1.0,94,23.0,51,0.0,0.0,0.0,0.0,0.0,15,22,4,4.0,0.0,0.0,8,18,4.0,1.0,1.0,0.0,11,0.0,0.0,4.0,17,0.0,2.0,2.0,17,0.0,0.0,0.0,0.0,5,2.0,0.0,0.0,0.0,1.0,0.0,0.0,9,13,15,0.0,3,0.0,0.0,7,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,15,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,18,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,29,0.0,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0
200812,1.41425,129,0.0,27,17,22,0.0,3.0,2.0,0.0,0.0,77,1.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,37,2,0.0,7,0.0,22.0,78,0.0,0.0,0.0,125,0.0,94,90,2.0,11.0,79,13.0,55,0.0,0.0,0.0,0.0,0.0,20,28,12,2.0,0.0,0.0,13,10,1.0,7.0,0.0,0.0,7,0.0,3.0,0.0,11,0.0,0.0,5.0,25,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21,29,12,0.0,2,0.0,0.0,21,0.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,15,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,16,15,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2.0,10.0,5,1.0,0.0,0.0,0.0,0.0,0.0
