MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.812,4160,127,1153,1148,476,213,194,257,55,5,3130,66,66,181,11,108,149,10,12.0,639,208,35,170,3.0,133,2291,19,2.0,9.0,2500,119,3396,3236,33,65,1281,378,2354,48,25,14,99,4,340,540,119,61,22,4,397,755,119,110,23.0,42,511,49,2.0,172,535,0.0,34,292,1124,33,0.0,10.0,0.0,518,46,0.0,3.0,41,41,4.0,0.0,855,1080,1140,10,244,9.0,0.0,1154,2.0,19,0.0,28,67,0.0,3,170,44,596,32,0.0,4,0.0,1.0,0.0,106,17,26,280,5.0,12,0.0,6,36,7.0,14,7.0,78,241,29,8,55,30,0.0,6.0,37,93,460,1541,92,33,189,69,291,30,0.0,0.0,55,1876,17,208,290,111,75,0.0,0.0,5.0,4.0
200804,1.814333333333333,3981,153,1142,1248,474,177,163,255,66,5,3091,63,68,162,45,94,169,19,7.0,628,245,45,152,2.0,86,2406,22,3.0,9.0,2662,132,3352,3147,32,79,1586,313,2209,59,24,9,61,6,386,643,174,58,20,6,388,776,92,151,5.0,23,468,57,3.0,180,625,8.0,12,229,1170,10,1.0,1.0,0.0,468,40,1.0,3.0,33,26,0.0,0.0,844,942,1306,7,290,19.0,0.0,943,3.0,8,6.0,29,68,0.0,9,141,29,528,29,0.0,10,3.0,0.0,5.0,146,7,19,291,3.0,41,3.0,11,31,14.0,1,6.0,92,227,34,8,77,55,0.0,1.0,29,66,447,1664,52,42,212,149,199,80,0.0,0.0,54,2023,22,223,295,62,90,0.0,0.0,2.0,2.0
200805,1.8166666666666664,4412,141,1201,1220,608,187,131,259,101,3,3438,65,85,157,31,91,153,11,1.0,755,185,49,186,0.0,96,2485,12,4.0,4.0,2922,94,3568,3311,97,105,1941,422,2528,52,11,6,74,8,291,715,162,90,12,8,487,759,67,179,4.0,17,519,89,7.0,298,583,6.0,3,177,1277,22,0.0,1.0,2.0,560,25,6.0,0.0,46,16,3.0,1.0,912,1026,1262,11,290,15.0,0.0,1140,4.0,18,5.0,53,118,0.0,9,131,17,613,23,1.0,29,10.0,1.0,0.0,128,13,14,298,16.0,18,15.0,16,15,11.0,4,5.0,74,252,38,12,36,48,0.0,2.0,11,106,509,1763,63,13,214,142,307,69,0.0,1.0,59,2043,30,210,358,50,51,0.0,0.0,3.0,1.0
200806,1.819,5013,147,1254,1292,565,286,278,293,85,17,3427,59,60,194,23,136,147,15,4.0,792,153,28,193,11.0,187,2498,14,13.0,10.0,3147,113,4195,3923,63,78,1807,419,2639,68,18,8,97,1,351,710,161,64,15,12,514,812,168,162,12.0,19,613,77,36.0,286,808,4.0,66,324,1202,13,0.0,1.0,2.0,677,51,0.0,3.0,65,25,0.0,2.0,981,1157,1590,17,287,20.0,6.0,1264,6.0,13,11.0,42,102,0.0,14,223,23,683,97,0.0,23,3.0,0.0,8.0,152,24,59,357,8.0,30,7.0,39,28,12.0,23,5.0,140,238,35,14,155,49,0.0,11.0,14,107,539,2048,91,49,259,60,340,83,0.0,1.0,17,2612,41,210,555,105,40,0.0,5.0,2.0,4.0
200807,1.8213333333333328,4970,175,1275,1340,671,321,244,302,101,6,3809,80,59,105,27,123,128,24,7.0,823,223,83,253,1.0,133,2589,13,1.0,1.0,3379,96,4577,4266,201,137,1961,421,2701,58,14,3,119,24,415,656,158,63,18,13,535,829,110,172,14.0,39,608,95,3.0,204,671,4.0,15,221,1456,16,1.0,2.0,3.0,669,51,0.0,3.0,45,19,0.0,0.0,972,1207,1570,18,305,16.0,3.0,1379,1.0,11,4.0,57,156,0.0,18,232,56,670,45,1.0,15,13.0,0.0,1.0,165,14,12,233,1.0,16,0.0,11,32,4.0,7,1.0,97,250,38,13,148,46,0.0,4.0,28,94,667,2195,157,5,379,91,620,63,0.0,1.0,51,2331,14,165,474,86,84,2.0,0.0,1.0,2.0
200808,1.8236666666666663,3617,175,1065,928,467,180,103,214,98,3,2903,63,34,107,15,92,80,11,3.0,744,155,34,135,0.0,68,1378,6,6.0,9.0,1658,95,2808,2470,87,87,975,257,1797,47,9,4,83,12,264,458,167,53,35,17,304,675,64,156,5.0,26,486,64,0.0,103,495,2.0,11,203,1037,8,2.0,1.0,0.0,440,22,2.0,5.0,37,105,3.0,0.0,687,926,1122,3,213,6.0,0.0,953,1.0,10,1.0,42,81,0.0,20,142,23,523,32,0.0,24,5.0,8.0,0.0,144,17,19,211,6.0,30,1.0,16,26,10.0,16,13.0,56,199,20,8,46,37,0.0,14.0,22,127,376,1620,106,34,219,38,253,65,0.0,0.0,53,1653,28,186,488,67,32,1.0,0.0,2.0,4.0
200809,1.8259999999999998,3344,93,944,916,515,139,157,185,43,16,2674,41,60,82,31,51,131,11,4.0,549,151,36,136,8.0,91,1711,11,0.0,3.0,2133,105,2311,2091,60,105,1407,274,1895,46,20,5,46,17,334,618,154,57,9,6,412,909,42,247,0.0,12,411,52,5.0,207,365,8.0,6,117,843,7,0.0,3.0,0.0,462,51,0.0,6.0,33,26,2.0,0.0,658,771,980,6,198,1.0,0.0,850,0.0,12,2.0,20,68,0.0,17,95,25,465,13,0.0,25,2.0,2.0,2.0,127,13,24,222,0.0,12,0.0,11,4,9.0,5,16.0,42,239,46,20,19,64,0.0,9.0,42,65,337,1107,49,4,148,49,127,50,0.0,9.0,54,1483,17,192,297,68,39,0.0,0.0,1.0,1.0
200810,1.8283333333333331,4779,124,1411,1299,626,298,221,203,71,13,3634,72,68,213,15,84,194,11,7.0,844,191,47,258,1.0,123,2332,20,0.0,3.0,2891,153,3464,3141,33,143,1773,445,2505,49,8,11,110,17,319,804,198,73,6,12,574,1081,109,642,1.0,24,644,95,9.0,247,593,6.0,16,272,1217,25,0.0,23.0,0.0,712,55,0.0,1.0,28,11,0.0,1.0,969,1078,1389,7,336,17.0,1.0,1318,4.0,10,2.0,40,92,0.0,27,156,18,670,26,2.0,14,5.0,0.0,0.0,164,16,31,231,8.0,15,15.0,14,13,5.0,10,3.0,64,221,64,16,28,48,0.0,9.0,16,85,464,1841,154,29,293,66,271,65,0.0,0.0,53,1950,25,317,507,75,68,0.0,0.0,1.0,0.0
200811,1.8306666666666669,4802,189,1412,1286,546,267,206,342,138,10,3736,80,61,221,20,111,118,28,4.0,842,240,52,233,4.0,110,2525,9,19.0,2.0,2831,194,3685,3408,46,151,1604,421,2604,54,119,12,66,18,315,731,218,69,21,6,570,945,196,249,38.0,34,578,69,0.0,175,568,2.0,67,203,1312,11,0.0,2.0,2.0,619,85,0.0,1.0,59,22,3.0,0.0,833,1017,1320,15,258,3.0,3.0,1364,3.0,23,12.0,51,81,0.0,10,157,18,735,14,0.0,11,7.0,0.0,0.0,163,10,22,226,7.0,13,1.0,18,36,0.0,16,7.0,110,255,30,2,19,30,0.0,3.0,20,129,464,1918,90,7,310,283,296,51,2.0,1.0,34,2573,37,193,547,91,28,0.0,0.0,5.0,0.0
200812,1.8330000000000002,4583,127,1315,1176,604,254,159,342,95,8,3635,70,74,132,35,178,113,20,1.0,815,182,46,209,3.0,127,1741,9,2.0,1.0,2136,167,3438,3187,42,120,1376,389,2490,57,36,11,133,12,449,930,230,79,14,9,533,965,129,285,12.0,26,581,91,6.0,212,605,2.0,28,514,1271,11,2.0,2.0,0.0,773,43,3.0,8.0,43,23,1.0,0.0,909,1269,1323,8,237,10.0,2.0,1257,6.0,14,3.0,38,68,0.0,18,160,7,768,27,0.0,24,5.0,2.0,0.0,168,19,59,305,7.0,18,3.0,26,23,3.0,10,12.0,136,294,25,11,33,50,0.0,4.0,17,127,441,2171,86,59,313,136,254,92,0.0,2.0,58,2342,24,183,450,161,70,0.0,0.0,10.0,0.0
200901,1.8353333333333333,6102,166,1756,1796,911,263,214,348,93,11,4372,79,85,228,16,268,191,34,7.0,1123,349,73,296,3.0,180,2782,21,6.0,22.0,3469,201,4755,4354,101,184,2087,566,3141,78,31,11,178,26,440,996,320,57,4,20,583,1227,145,386,15.0,13,741,69,1.0,216,912,8.0,20,322,1314,38,4.0,1.0,1.0,860,56,1.0,7.0,19,52,1.0,1.0,1084,1525,1493,28,416,14.0,0.0,1548,6.0,22,2.0,52,66,0.0,18,163,30,913,54,1.0,7,3.0,1.0,0.0,230,27,77,690,10.0,63,3.0,28,19,3.0,15,7.0,103,258,41,37,55,60,0.0,14.0,10,210,569,1939,114,23,340,180,323,42,0.0,3.0,77,2508,29,328,519,177,59,0.0,1.0,10.0,11.0
200902,1.8376666666666668,5726,218,1698,1726,771,249,278,308,129,10,4043,89,71,203,11,175,186,14,9.0,952,244,244,217,0.0,174,3054,90,5.0,2.0,3423,182,5136,4846,113,143,2454,653,2927,77,18,24,284,7,503,816,242,100,47,34,541,1061,126,320,4.0,23,717,91,3.0,237,1156,46.0,31,266,1460,26,6.0,4.0,0.0,832,73,0.0,2.0,46,36,2.0,0.0,1044,1293,1780,15,327,16.0,2.0,1560,2.0,22,10.0,86,95,0.0,24,240,40,864,24,0.0,27,1.0,0.0,0.0,145,20,85,607,77.0,50,7.0,57,13,7.0,31,13.0,82,383,31,12,38,62,0.0,5.0,18,102,846,2248,126,56,224,90,736,44,0.0,1.0,52,2240,32,216,368,49,30,0.0,1.0,2.0,1.0
200903,1.84,5897,149,1762,1813,784,462,285,383,164,20,4590,150,78,243,22,132,258,27,5.0,1287,316,177,304,2.0,225,4132,26,4.0,7.0,4639,242,5302,4998,117,186,2842,705,3633,63,35,14,164,25,411,1006,272,340,16,18,701,1237,140,229,8.0,29,852,112,9.0,236,975,14.0,45,506,1581,50,10.0,4.0,3.0,851,82,0.0,2.0,44,28,12.0,0.0,1255,1674,1725,17,366,14.0,7.0,1585,2.0,21,7.0,55,137,0.0,13,206,42,912,37,1.0,75,19.0,0.0,0.0,222,23,34,565,11.0,24,7.0,15,35,17.0,21,13.0,79,293,77,17,59,61,0.0,10.0,26,133,707,2771,91,18,378,94,535,90,3.0,4.0,78,3627,46,241,1530,155,28,0.0,3.0,8.0,2.0
200904,1.8425833333333332,5868,172,1666,1649,774,296,211,350,99,28,4352,135,70,200,18,222,272,37,16.0,1205,315,40,307,3.0,164,3620,24,9.0,2.0,4973,170,6029,5607,196,117,2674,630,3136,61,31,16,119,11,573,906,244,146,17,34,775,1231,166,243,6.0,36,776,94,11.0,266,1182,11.0,35,330,1692,29,16.0,1.0,1.0,785,76,5.0,1.0,46,102,8.0,2.0,1180,1390,1709,27,383,15.0,0.0,1513,8.0,16,19.0,96,128,0.0,33,213,39,999,12,0.0,45,18.0,0.0,0.0,210,38,120,695,52.0,25,18.0,77,31,7.0,25,14.0,92,300,59,13,55,69,0.0,23.0,26,203,553,2627,121,101,410,182,380,64,6.0,1.0,51,2752,43,269,498,67,36,0.0,0.0,5.0,10.0
200905,1.8451666666666664,6306,156,1690,1605,710,252,237,333,99,8,4295,169,73,195,62,137,193,24,11.0,925,273,53,207,7.0,158,2977,12,2.0,5.0,3485,178,5219,4850,90,164,2472,582,3207,81,20,8,171,23,549,1036,270,135,10,15,598,1148,99,204,8.0,13,768,87,3.0,523,927,14.0,15,305,1505,52,9.0,8.0,6.0,676,30,1.0,11.0,48,38,2.0,5.0,1225,1484,1530,19,366,12.0,0.0,1510,6.0,16,21.0,43,114,0.0,21,193,101,779,47,1.0,15,4.0,2.0,2.0,189,14,69,324,19.0,29,17.0,44,23,4.0,19,13.0,82,254,51,19,36,29,0.0,12.0,19,130,832,2431,105,37,386,127,376,71,3.0,4.0,49,2684,43,265,599,57,28,3.0,2.0,4.0,14.0
