MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.389,242,23.0,35,59,19,6,14,10.0,2.0,0.0,183,3.0,2.0,8,4.0,4.0,14,0.0,0.0,161,17,2.0,9,0.0,1.0,156,0.0,0.0,0.0,643,9.0,205,189,1.0,3.0,94,28,108,0.0,3.0,9.0,0.0,0.0,35,50,9,0.0,12.0,0.0,42,32,9.0,13,1.0,3.0,20,1.0,0.0,3.0,41,0.0,3.0,4,102,0.0,0.0,0.0,0.0,26,2.0,0.0,0.0,11.0,1.0,0.0,0.0,20,64,44,4.0,11,0.0,0.0,36,0.0,0.0,0.0,5.0,11.0,1.0,4.0,0.0,22,5.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,47,0.0,1.0,0.0,8.0,0.0,1.0,1.0,0.0,8.0,11.0,27.0,0.0,3.0,0.0,0.0,5.0,7.0,28,162,11.0,0.0,19,6.0,56,2.0,0.0,6.0,131,3.0,4,28,1.0,1.0,0.0,0.0,2.0,0.0
200804,1.3884166666666666,209,6.0,37,42,32,8,14,5.0,2.0,0.0,169,0.0,0.0,14,0.0,3.0,16,0.0,0.0,63,3,2.0,9,0.0,13.0,119,2.0,0.0,1.0,602,23.0,302,252,14.0,1.0,174,52,94,1.0,0.0,4.0,6.0,0.0,45,68,14,9.0,3.0,0.0,31,40,0.0,17,0.0,3.0,20,0.0,0.0,5.0,35,0.0,0.0,1,71,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,3.0,0.0,0.0,0.0,33,34,43,0.0,11,1.0,0.0,54,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,15,6.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,16,1.0,7.0,0.0,10.0,2.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,11.0,2.0,0.0,2.0,4.0,33,118,11.0,0.0,4,2.0,20,2.0,0.0,2.0,111,2.0,8,20,0.0,4.0,0.0,0.0,0.0,0.0
200805,1.3878333333333333,291,6.0,59,77,23,4,17,6.0,3.0,0.0,174,1.0,7.0,2,0.0,9.0,27,0.0,0.0,76,4,4.0,32,0.0,2.0,194,0.0,0.0,2.0,670,11.0,289,253,92.0,7.0,167,22,161,0.0,0.0,3.0,1.0,7.0,35,36,11,4.0,0.0,2.0,67,41,4.0,18,4.0,1.0,35,3.0,0.0,4.0,34,0.0,5.0,23,79,0.0,0.0,0.0,0.0,28,0.0,1.0,0.0,0.0,2.0,0.0,0.0,34,26,43,0.0,7,0.0,0.0,46,0.0,0.0,4.0,8.0,3.0,1.0,2.0,0.0,10,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,8,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,28.0,14.0,4.0,1.0,1.0,5.0,0.0,0.0,4.0,10,95,10.0,0.0,5,2.0,22,6.0,0.0,0.0,44,18.0,12,20,2.0,3.0,0.0,0.0,0.0,0.0
200806,1.38725,308,1.0,44,30,28,7,7,5.0,2.0,3.0,170,4.0,5.0,17,0.0,9.0,3,0.0,0.0,42,10,0.0,23,0.0,9.0,100,0.0,0.0,5.0,443,15.0,257,263,14.0,3.0,131,28,96,2.0,0.0,0.0,17.0,0.0,31,57,14,10.0,0.0,0.0,58,30,4.0,11,0.0,5.0,26,6.0,0.0,13.0,48,4.0,0.0,2,93,0.0,0.0,0.0,0.0,22,2.0,0.0,0.0,8.0,0.0,0.0,0.0,53,58,35,0.0,9,2.0,0.0,101,0.0,0.0,0.0,3.0,8.0,1.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,0.0,19,0.0,0.0,0.0,1.0,0.0,0.0,5.0,824.0,0.0,2.0,8.0,4.0,0.0,2.0,1.0,0.0,17.0,27,89,0.0,1.0,5,13.0,9,7.0,0.0,3.0,280,0.0,10,31,6.0,0.0,0.0,0.0,0.0,0.0
200807,1.3866666666666667,248,0.0,55,65,12,3,15,11.0,2.0,0.0,181,1.0,5.0,12,0.0,4.0,2,0.0,0.0,34,6,6.0,3,0.0,4.0,106,0.0,0.0,0.0,629,4.0,162,146,1.0,8.0,77,25,121,62.0,0.0,0.0,0.0,1.0,40,32,15,0.0,1.0,2.0,12,36,0.0,17,0.0,20.0,17,10.0,0.0,17.0,61,0.0,0.0,12,157,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,2.0,3.0,0.0,0.0,35,67,54,0.0,34,1.0,0.0,82,0.0,4.0,0.0,3.0,8.0,1.0,3.0,1.0,35,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,14,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,11.0,4.0,0.0,0.0,3.0,0.0,0.0,13.0,31,104,26.0,2.0,14,27.0,15,0.0,0.0,1.0,134,6.0,7,28,0.0,4.0,0.0,0.0,0.0,0.0
200808,1.3860833333333331,227,0.0,29,52,11,4,4,1.0,0.0,0.0,105,7.0,2.0,5,0.0,3.0,10,0.0,0.0,18,8,0.0,4,0.0,2.0,88,1.0,0.0,0.0,126,7.0,182,151,2.0,2.0,92,7,73,2.0,0.0,0.0,2.0,0.0,16,23,7,0.0,0.0,0.0,42,22,0.0,12,0.0,1.0,15,16.0,0.0,4.0,21,0.0,2.0,7,68,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,5.0,6.0,0.0,0.0,45,37,32,0.0,7,0.0,0.0,33,0.0,1.0,1.0,2.0,6.0,0.0,5.0,0.0,18,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,12,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,2.0,11.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,16,69,3.0,3.0,9,1.0,15,0.0,0.0,1.0,51,0.0,10,7,1.0,4.0,0.0,0.0,0.0,0.0
200809,1.3855,216,10.0,32,26,17,3,6,0.0,0.0,0.0,93,1.0,2.0,2,4.0,3.0,1,0.0,0.0,31,3,0.0,1,0.0,2.0,68,6.0,0.0,6.0,110,3.0,158,137,1.0,3.0,103,16,61,4.0,0.0,1.0,0.0,0.0,23,43,7,7.0,0.0,1.0,37,20,0.0,11,0.0,0.0,12,4.0,0.0,3.0,31,0.0,0.0,1,30,0.0,0.0,0.0,0.0,10,1.0,0.0,0.0,8.0,0.0,0.0,0.0,26,19,55,0.0,21,1.0,0.0,34,0.0,5.0,0.0,2.0,4.0,3.0,5.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10,74,3.0,0.0,3,1.0,4,1.0,0.0,1.0,49,1.0,15,17,0.0,1.0,0.0,0.0,2.0,0.0
200810,1.3849166666666666,347,6.0,45,76,19,5,8,32.0,3.0,0.0,186,0.0,0.0,6,0.0,0.0,7,1.0,0.0,49,18,1.0,20,0.0,3.0,89,0.0,0.0,0.0,203,38.0,179,179,3.0,9.0,48,10,216,2.0,0.0,0.0,1.0,0.0,56,50,5,0.0,0.0,0.0,93,69,7.0,29,0.0,0.0,29,4.0,0.0,4.0,19,0.0,0.0,2,46,3.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,2.0,0.0,0.0,34,37,57,0.0,5,0.0,0.0,40,0.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,17,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,15,88,2.0,0.0,6,5.0,29,1.0,0.0,0.0,125,0.0,10,4,0.0,0.0,0.0,0.0,0.0,0.0
200811,1.3843333333333332,225,2.0,46,48,14,4,4,3.0,0.0,0.0,100,2.0,0.0,15,0.0,2.0,4,0.0,0.0,49,2,9.0,10,1.0,5.0,118,1.0,0.0,0.0,120,6.0,181,166,3.0,3.0,132,14,131,3.0,0.0,2.0,5.0,0.0,47,74,11,0.0,0.0,0.0,16,32,17.0,12,2.0,2.0,17,3.0,0.0,3.0,19,0.0,6.0,10,31,3.0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,43,17,0.0,3,0.0,0.0,30,0.0,0.0,0.0,2.0,9.0,2.0,1.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,13.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,32,48,2.0,2.0,2,4.0,8,0.0,0.0,3.0,33,1.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0
200812,1.38375,336,4.0,46,84,32,1,2,9.0,2.0,0.0,170,2.0,0.0,9,0.0,6.0,15,2.0,0.0,110,14,1.0,14,0.0,8.0,100,0.0,0.0,2.0,147,18.0,227,195,40.0,23.0,102,22,178,1.0,0.0,0.0,1.0,0.0,100,48,15,22.0,0.0,0.0,43,38,1.0,34,0.0,2.0,36,1.0,0.0,8.0,54,0.0,0.0,14,49,2.0,1.0,0.0,0.0,37,3.0,0.0,0.0,1.0,0.0,0.0,0.0,23,43,26,0.0,21,0.0,0.0,74,0.0,0.0,0.0,4.0,10.0,0.0,4.0,0.0,22,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,30,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,17.0,10.0,6.0,0.0,0.0,0.0,0.0,21.0,19,89,6.0,1.0,10,2.0,20,1.0,0.0,3.0,56,0.0,11,37,0.0,2.0,0.0,0.0,0.0,0.0
