MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_135,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,2.44,1342,25,264,302,118,31,37,98,19,7.0,782,49,27,26,9,39,84,9,7.0,294,76,25,46,3.0,34,1179,7,6.0,3.0,1315,42,1530,1333,32,18,927,258,844,15,1.0,13,11.0,2.0,243,176,109,13,7.0,5.0,147,88,107,32,0.0,3.0,105,50,0.0,25,103,0.0,29.0,224,182,0.0,2.0,0.0,0.0,209,7.0,0.0,0.0,30,7.0,1.0,0.0,230,324,444,7.0,82,16.0,0.0,402,0.0,11.0,0.0,23,44,0.0,9.0,7,21.0,176,3.0,8.0,6.0,0.0,0.0,0.0,6.0,62,6.0,34.0,141,1.0,15.0,3.0,44.0,18,19.0,3.0,14.0,26,99,12,9.0,3,11,0.0,0.0,10.0,23,444,545,30,89,56,15.0,60,27,0.0,0.0,17,878,12,62,104,38,150,0.0,0.0,2.0,1.0
200804,2.4484166666666667,1016,18,188,295,95,22,55,130,26,2.0,632,17,21,19,6,17,82,6,3.0,192,42,9,40,6.0,20,766,15,1.0,2.0,1164,36,1180,1075,30,69,909,183,709,9,3.0,29,7.0,5.0,180,143,120,59,8.0,3.0,116,56,29,16,0.0,9.0,100,33,3.0,36,129,1.0,8.0,52,151,0.0,1.0,2.0,0.0,162,4.0,0.0,0.0,8,7.0,0.0,0.0,199,231,259,0.0,45,21.0,0.0,329,0.0,5.0,1.0,12,29,0.0,10.0,14,14.0,123,5.0,0.0,3.0,0.0,0.0,0.0,0.0,41,3.0,7.0,77,1.0,8.0,5.0,10.0,24,2.0,3.0,7.0,12,75,26,3.0,24,39,0.0,1.0,4.0,17,184,373,18,10,60,6.0,33,25,0.0,0.0,16,855,10,52,105,9,143,0.0,0.0,3.0,0.0
200805,2.456833333333333,1093,23,186,261,104,15,39,73,42,4.0,702,9,26,21,2,14,59,14,1.0,247,61,13,35,2.0,37,855,12,2.0,5.0,1306,37,1384,1245,21,201,1005,245,826,6,8.0,23,1.0,1.0,239,122,95,12,1.0,8.0,103,92,42,23,8.0,6.0,163,27,0.0,37,104,0.0,3.0,46,168,0.0,0.0,0.0,0.0,159,11.0,0.0,0.0,6,1.0,0.0,0.0,241,252,339,2.0,66,8.0,0.0,280,0.0,3.0,3.0,7,23,0.0,6.0,25,4.0,128,3.0,0.0,2.0,0.0,0.0,0.0,0.0,36,3.0,20.0,91,0.0,9.0,2.0,10.0,13,3.0,2.0,2.0,13,61,10,1.0,23,18,0.0,3.0,8.0,12,248,290,8,32,72,13.0,54,16,0.0,1.0,13,847,5,56,96,31,220,3.0,0.0,1.0,3.0
200806,2.46525,956,18,171,234,83,14,55,41,21,9.0,566,16,13,32,11,4,66,5,0.0,130,42,1,23,2.0,18,637,13,6.0,0.0,962,31,935,843,37,43,766,199,571,10,3.0,6,1.0,0.0,181,111,93,8,3.0,3.0,94,68,33,20,1.0,48.0,132,48,0.0,42,120,1.0,3.0,27,185,3.0,0.0,1.0,0.0,102,1.0,0.0,0.0,4,5.0,3.0,0.0,190,198,318,1.0,55,22.0,0.0,267,0.0,8.0,0.0,18,23,0.0,3.0,8,6.0,67,4.0,3.0,2.0,0.0,0.0,0.0,0.0,21,1.0,1.0,56,1.0,1.0,0.0,2.0,31,0.0,1.0,3.0,6,84,7,0.0,5,60,0.0,0.0,2.0,8,249,246,3,1,31,4.0,52,13,0.0,0.0,19,532,10,21,92,26,89,0.0,0.0,1.0,0.0
200807,2.4736666666666665,1522,53,212,433,180,79,108,64,100,3.0,762,35,23,31,1,36,43,11,2.0,195,89,31,20,0.0,32,770,15,0.0,8.0,1199,39,1255,1087,125,111,1256,242,749,11,8.0,22,2.0,4.0,217,154,89,12,0.0,2.0,206,93,30,39,6.0,18.0,185,37,3.0,21,291,2.0,1.0,32,411,4.0,1.0,16.0,0.0,231,8.0,0.0,0.0,10,6.0,8.0,0.0,271,471,625,3.0,56,18.0,0.0,364,0.0,7.0,0.0,11,20,0.0,6.0,10,8.0,174,12.0,7.0,2.0,0.0,0.0,0.0,2.0,61,2.0,0.0,71,0.0,4.0,0.0,6.0,31,2.0,4.0,2.0,12,134,23,3.0,20,43,0.0,2.0,25.0,31,510,892,9,10,73,134.0,42,88,0.0,1.0,52,1342,24,36,386,64,243,0.0,0.0,3.0,1.0
200808,2.482083333333333,1019,23,180,297,80,65,36,30,22,0.0,488,26,15,19,2,15,33,11,6.0,188,42,13,61,0.0,14,664,10,0.0,8.0,731,129,1108,1006,19,119,630,160,413,11,10.0,29,10.0,0.0,175,133,120,24,5.0,0.0,113,62,50,119,5.0,9.0,155,11,0.0,33,69,3.0,4.0,54,221,10.0,2.0,3.0,0.0,121,10.0,0.0,0.0,9,5.0,0.0,0.0,151,167,319,0.0,60,4.0,0.0,273,0.0,0.0,0.0,13,47,0.0,16.0,8,4.0,96,0.0,0.0,2.0,0.0,0.0,0.0,0.0,30,0.0,7.0,53,0.0,3.0,0.0,7.0,17,0.0,2.0,0.0,19,44,8,2.0,12,18,0.0,2.0,23.0,59,128,309,8,15,27,4.0,73,114,0.0,0.0,15,642,8,46,85,64,73,0.0,0.0,3.0,0.0
200809,2.4905,650,7,131,205,69,21,41,20,18,2.0,403,6,7,5,1,18,62,3,2.0,133,40,3,19,1.0,16,510,11,0.0,6.0,840,10,714,619,113,55,551,171,363,3,2.0,21,0.0,0.0,132,82,67,6,2.0,2.0,80,43,20,60,4.0,2.0,98,6,2.0,18,55,0.0,0.0,43,200,3.0,0.0,0.0,0.0,76,3.0,0.0,0.0,38,6.0,0.0,0.0,96,113,218,2.0,33,3.0,0.0,164,0.0,1.0,0.0,10,13,0.0,6.0,13,1.0,73,3.0,1.0,0.0,0.0,0.0,0.0,3.0,25,5.0,12.0,63,0.0,1.0,0.0,4.0,10,6.0,1.0,1.0,14,25,6,4.0,16,6,0.0,0.0,0.0,13,86,249,5,16,11,15.0,25,23,0.0,0.0,15,267,6,19,46,17,44,0.0,0.0,1.0,1.0
200810,2.4989166666666667,1065,19,293,255,109,33,31,90,73,5.0,609,11,27,28,11,35,68,8,1.0,223,52,10,43,3.0,6,795,6,2.0,8.0,1672,33,1207,1086,42,80,806,204,693,11,4.0,33,24.0,1.0,145,166,66,25,1.0,0.0,100,74,32,26,5.0,6.0,121,15,2.0,17,110,4.0,2.0,62,183,1.0,2.0,0.0,0.0,149,15.0,1.0,0.0,15,1.0,0.0,0.0,235,345,412,5.0,71,6.0,0.0,191,0.0,7.0,3.0,8,38,0.0,3.0,13,3.0,152,3.0,0.0,2.0,0.0,0.0,0.0,1.0,95,0.0,31.0,83,0.0,14.0,1.0,18.0,18,0.0,2.0,2.0,15,56,17,2.0,22,17,0.0,3.0,6.0,14,100,417,7,15,196,74.0,102,24,0.0,0.0,14,1643,5,70,129,43,334,0.0,0.0,1.0,2.0
200811,2.5073333333333334,892,20,237,239,73,33,26,81,26,2.0,545,15,18,19,6,19,83,6,2.0,206,67,13,27,0.0,25,661,1,1.0,12.0,1202,51,1059,930,146,85,707,272,554,12,2.0,17,6.0,0.0,341,121,97,7,0.0,4.0,146,98,21,52,0.0,8.0,94,18,2.0,17,109,0.0,1.0,33,134,0.0,0.0,3.0,1.0,110,13.0,0.0,0.0,16,7.0,0.0,0.0,145,227,229,10.0,62,5.0,0.0,204,2.0,2.0,2.0,10,20,0.0,2.0,9,6.0,85,10.0,0.0,1.0,0.0,0.0,0.0,0.0,22,2.0,8.0,101,1.0,7.0,0.0,34.0,19,4.0,0.0,0.0,13,39,16,2.0,6,9,0.0,0.0,1.0,15,103,291,5,32,33,35.0,31,21,0.0,3.0,8,389,3,43,56,21,13,0.0,0.0,1.0,3.0
200812,2.51575,894,32,208,173,75,17,31,48,40,5.0,467,11,8,21,2,18,62,4,2.0,166,76,4,12,0.0,33,918,7,0.0,5.0,1303,60,1034,960,69,155,952,231,447,8,1.0,8,34.0,0.0,190,123,60,5,2.0,2.0,127,36,12,31,0.0,11.0,123,6,4.0,20,89,2.0,3.0,58,87,0.0,1.0,0.0,0.0,96,2.0,0.0,0.0,9,4.0,0.0,1.0,184,244,215,8.0,65,22.0,0.0,214,0.0,1.0,1.0,10,21,0.0,4.0,4,6.0,96,7.0,0.0,1.0,1.0,0.0,0.0,0.0,34,0.0,18.0,133,5.0,2.0,0.0,18.0,6,0.0,3.0,0.0,8,38,32,2.0,8,92,0.0,2.0,3.0,24,140,300,14,5,45,18.0,66,33,0.0,0.0,7,502,6,30,80,23,182,0.0,0.0,1.0,1.0
