MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.618,125,0.0,23,25,4,8.0,0.0,21.0,0.0,0.0,52,1.0,1.0,5.0,0.0,9.0,14,2.0,0.0,14,18,0.0,1.0,0.0,0.0,98,0.0,0.0,6.0,122,26.0,245,255,7.0,11.0,144,17,57,0.0,0.0,8.0,4.0,0.0,45,20,7,0.0,1.0,0.0,25,99,0.0,0.0,0.0,0.0,3,0.0,0.0,4.0,19,0.0,0.0,2.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,3.0,1.0,0.0,0.0,10,19,18,1.0,4.0,0.0,0.0,40,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,12.0,19,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,28,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200804,1.6022500000000002,220,13.0,17,53,11,6.0,15.0,1.0,1.0,0.0,119,0.0,3.0,3.0,0.0,2.0,16,0.0,0.0,43,10,1.0,9.0,0.0,2.0,183,0.0,0.0,0.0,258,10.0,262,270,27.0,18.0,161,48,109,0.0,0.0,3.0,0.0,0.0,59,41,25,0.0,0.0,0.0,33,102,1.0,13.0,0.0,0.0,6,1.0,0.0,2.0,15,0.0,2.0,15.0,7,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12,22,55,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,15,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,25.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,3.0,23,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,37,2.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
200805,1.5865,309,2.0,74,120,14,8.0,14.0,13.0,0.0,0.0,182,0.0,5.0,6.0,18.0,8.0,25,4.0,0.0,171,40,1.0,12.0,0.0,12.0,285,8.0,0.0,7.0,316,34.0,390,332,14.0,100.0,356,39,242,2.0,0.0,0.0,0.0,2.0,90,41,28,9.0,0.0,1.0,18,48,3.0,4.0,0.0,0.0,27,4.0,0.0,16.0,25,0.0,0.0,23.0,7,0.0,0.0,0.0,0.0,41,0.0,4.0,0.0,0.0,2.0,6.0,0.0,44,30,35,0.0,11.0,0.0,0.0,74,0.0,1.0,0.0,2.0,21.0,0.0,1.0,1.0,60.0,26,0.0,0.0,4.0,0.0,0.0,0.0,4.0,7.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,2.0,31.0,0.0,0.0,0.0,0.0,10.0,24,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,9.0,93,0.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
200806,1.57075,144,3.0,21,39,10,4.0,2.0,2.0,3.0,6.0,108,0.0,1.0,3.0,6.0,3.0,14,0.0,0.0,131,23,1.0,6.0,0.0,8.0,128,4.0,0.0,0.0,190,9.0,192,169,7.0,26.0,203,50,114,3.0,0.0,4.0,0.0,0.0,81,24,19,0.0,0.0,0.0,23,129,0.0,3.0,0.0,4.0,13,0.0,0.0,11.0,6,1.0,0.0,4.0,21,0.0,0.0,1.0,0.0,19,0.0,0.0,0.0,4.0,0.0,0.0,0.0,19,20,42,0.0,2.0,0.0,0.0,31,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,44.0,8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,32,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
200807,1.5550000000000002,162,2.0,33,68,21,1.0,2.0,3.0,0.0,1.0,135,0.0,0.0,4.0,4.0,1.0,18,0.0,0.0,101,13,0.0,8.0,1.0,5.0,98,5.0,0.0,0.0,183,15.0,114,100,2.0,30.0,99,39,111,1.0,0.0,6.0,2.0,0.0,52,16,5,15.0,0.0,0.0,19,84,4.0,15.0,0.0,0.0,27,0.0,0.0,10.0,22,0.0,0.0,8.0,9,1.0,0.0,0.0,0.0,11,2.0,0.0,1.0,0.0,0.0,2.0,0.0,28,25,32,0.0,3.0,0.0,0.0,46,0.0,0.0,0.0,1.0,7.0,0.0,2.0,0.0,18.0,17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,1.0,8.0,24,0.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,2.0,48,2.0,3.0,7.0,5.0,3.0,0.0,0.0,0.0,0.0
200808,1.53925,94,1.0,17,17,2,0.0,0.0,0.0,4.0,1.0,58,0.0,1.0,0.0,0.0,0.0,13,0.0,0.0,28,5,0.0,5.0,0.0,2.0,76,0.0,0.0,0.0,103,1.0,79,74,1.0,15.0,95,17,43,0.0,0.0,0.0,2.0,0.0,58,9,10,0.0,1.0,1.0,5,88,0.0,0.0,0.0,0.0,18,0.0,3.0,0.0,7,0.0,0.0,5.0,1,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18,23,3,0.0,7.0,0.0,0.0,22,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,5.0,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,2.0,2.0,9,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,21,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
200809,1.5235,78,3.0,14,17,6,3.0,1.0,6.0,2.0,0.0,71,2.0,0.0,0.0,6.0,2.0,16,0.0,0.0,14,12,0.0,7.0,0.0,3.0,109,0.0,0.0,12.0,120,4.0,57,58,0.0,24.0,166,15,88,0.0,0.0,0.0,0.0,0.0,40,20,8,2.0,0.0,0.0,24,66,2.0,1.0,0.0,0.0,4,0.0,0.0,3.0,14,0.0,4.0,2.0,10,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11,13,16,2.0,4.0,0.0,0.0,16,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,18,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,4.0,52,0.0,3.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0
200810,1.50775,152,2.0,35,43,11,0.0,2.0,9.0,4.0,0.0,117,0.0,0.0,8.0,2.0,6.0,19,0.0,1.0,87,25,0.0,3.0,0.0,2.0,206,10.0,0.0,2.0,219,16.0,170,153,41.0,5.0,145,69,75,0.0,0.0,3.0,1.0,0.0,72,28,11,7.0,1.0,0.0,21,124,3.0,6.0,1.0,0.0,5,1.0,0.0,1.0,15,1.0,0.0,0.0,16,0.0,0.0,0.0,0.0,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,14,8,1.0,2.0,0.0,0.0,34,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,16.0,0.0,0.0,5.0,0.0,0.0,25,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
200811,1.492,296,2.0,32,50,12,5.0,0.0,6.0,2.0,0.0,218,6.0,11.0,5.0,0.0,9.0,19,1.0,0.0,151,41,1.0,12.0,0.0,0.0,341,6.0,0.0,23.0,401,0.0,398,377,68.0,16.0,284,121,112,2.0,1.0,3.0,0.0,0.0,122,64,38,0.0,3.0,0.0,45,118,5.0,10.0,6.0,0.0,7,0.0,0.0,6.0,11,0.0,7.0,7.0,25,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,2.0,0.0,0.0,25,36,17,0.0,5.0,0.0,0.0,40,0.0,0.0,0.0,6.0,5.0,0.0,1.0,4.0,0.0,15,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,4.0,4.0,4.0,32.0,0.0,0.0,0.0,4.0,10.0,19,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,29,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
200812,1.47625,217,4.0,22,41,37,0.0,2.0,8.0,0.0,0.0,163,1.0,7.0,7.0,0.0,3.0,24,4.0,2.0,41,9,1.0,21.0,0.0,8.0,270,1.0,0.0,0.0,388,23.0,269,263,14.0,23.0,268,105,162,0.0,0.0,4.0,0.0,0.0,84,62,24,0.0,2.0,0.0,49,88,0.0,7.0,0.0,0.0,16,0.0,2.0,7.0,13,0.0,5.0,11.0,14,0.0,0.0,0.0,0.0,33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24,29,24,0.0,0.0,1.0,2.0,41,0.0,2.0,0.0,1.0,14.0,0.0,1.0,5.0,1.0,12,1.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,7.0,14.0,2.0,2.0,24.0,0.0,0.0,0.0,0.0,13.0,50,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,3.0,51,0.0,6.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0
